Optimizer,learning_rate,epoch,loss
Adadelta,1.00e+01,1,6660533
Adadelta,1.00e+01,2,6306660
Adadelta,1.00e+01,3,5598100
Adadelta,1.00e+01,4,4667669
Adadelta,1.00e+01,5,3719836
Adadelta,1.00e+01,6,3025960
Adadelta,1.00e+01,7,2538425
Adadelta,1.00e+01,8,2194726
Adadelta,1.00e+01,9,1933832
Adadelta,1.00e+01,10,1724088
Adadelta,1.00e+01,11,1572793
Adadelta,1.00e+01,12,1445074
Adadelta,1.00e+01,13,1365455
Adadelta,1.00e+01,14,1291335
Adadelta,1.00e+01,15,1247631
Adadelta,1.00e+01,16,1202522
Adadelta,1.00e+01,17,1181735
Adadelta,1.00e+01,18,1159962
Adadelta,1.00e+01,19,1152647
Adadelta,1.00e+01,20,1144210
Adadelta,1.00e+01,21,1139766
Adadelta,1.00e+01,22,1140293
Adadelta,1.00e+01,23,1136320
Adadelta,1.00e+01,24,1138317
Adadelta,1.00e+01,25,1134481
Adadelta,1.00e+01,26,1138103
Adadelta,1.00e+01,27,1132974
Adadelta,1.00e+01,28,1137551
Adadelta,1.00e+01,29,1132022
Adadelta,1.00e+01,30,1137186
Adadelta,1.00e+01,31,1131355
Adadelta,1.00e+01,32,1136799
Adadelta,1.00e+01,33,1130795
Adadelta,1.00e+01,34,1136445
Adadelta,1.00e+01,35,1130438
Adadelta,1.00e+01,36,1136085
Adadelta,1.00e+01,37,1130059
Adadelta,1.00e+01,38,1135717
Adadelta,1.00e+01,39,1129700
Adadelta,1.00e+01,40,1135343
Adadelta,1.00e+01,41,1129338
Adadelta,1.00e+01,42,1134981
Adadelta,1.00e+01,43,1128946
Adadelta,1.00e+01,44,1134606
Adadelta,1.00e+01,45,1128538
Adadelta,1.00e+01,46,1134205
Adadelta,1.00e+01,47,1128140
Adadelta,1.00e+01,48,1133790
Adadelta,1.00e+01,49,1127729
Adadelta,1.00e+01,50,1133351
Adadelta,1.00e+01,51,1127222
Adadelta,1.00e+01,52,1132884
Adadelta,1.00e+01,53,1126455
Adadelta,1.00e+01,54,1132430
Adadelta,1.00e+01,55,1125747
Adadelta,1.00e+01,56,1131941
Adadelta,1.00e+01,57,1125288
