Optimizer,learning_rate,epoch,loss
Adagrad,5.00e-02,1,6660133
Adagrad,5.00e-02,2,4556300
Adagrad,5.00e-02,3,2718344
Adagrad,5.00e-02,4,2768785
Adagrad,5.00e-02,5,3244898
Adagrad,5.00e-02,6,2659953
Adagrad,5.00e-02,7,3358848
Adagrad,5.00e-02,8,2662698
Adagrad,5.00e-02,9,3352629
Adagrad,5.00e-02,10,2665335
Adagrad,5.00e-02,11,3346555
Adagrad,5.00e-02,12,2667950
Adagrad,5.00e-02,13,3340607
Adagrad,5.00e-02,14,2670544
Adagrad,5.00e-02,15,3334769
Adagrad,5.00e-02,16,2673113
Adagrad,5.00e-02,17,3329036
Adagrad,5.00e-02,18,2675657
Adagrad,5.00e-02,19,3323401
Adagrad,5.00e-02,20,2678175
Adagrad,5.00e-02,21,3317860
Adagrad,5.00e-02,22,2680674
Adagrad,5.00e-02,23,3312412
Adagrad,5.00e-02,24,2683156
Adagrad,5.00e-02,25,3307057
Adagrad,5.00e-02,26,2685616
Adagrad,5.00e-02,27,3301788
Adagrad,5.00e-02,28,2688048
Adagrad,5.00e-02,29,3296601
Adagrad,5.00e-02,30,2690464
Adagrad,5.00e-02,31,3291492
Adagrad,5.00e-02,32,2692857
Adagrad,5.00e-02,33,3286459
Adagrad,5.00e-02,34,2695230
Adagrad,5.00e-02,35,3281501
Adagrad,5.00e-02,36,2697582
Adagrad,5.00e-02,37,3276614
Adagrad,5.00e-02,38,2699910
Adagrad,5.00e-02,39,3271792
Adagrad,5.00e-02,40,2702217
Adagrad,5.00e-02,41,3267037
Adagrad,5.00e-02,42,2704502
Adagrad,5.00e-02,43,3262343
Adagrad,5.00e-02,44,2706765
Adagrad,5.00e-02,45,3257709
Adagrad,5.00e-02,46,2709007
Adagrad,5.00e-02,47,3253136
Adagrad,5.00e-02,48,2711228
Adagrad,5.00e-02,49,3248623
Adagrad,5.00e-02,50,2713429
Adagrad,5.00e-02,51,3244170
Adagrad,5.00e-02,52,2715612
Adagrad,5.00e-02,53,3239775
Adagrad,5.00e-02,54,2717778
Adagrad,5.00e-02,55,3235438
Adagrad,5.00e-02,56,2719926
Adagrad,5.00e-02,57,3231150
Adagrad,5.00e-02,58,2722057
Adagrad,5.00e-02,59,3226916
Adagrad,5.00e-02,60,2724173
Adagrad,5.00e-02,61,3222736
Adagrad,5.00e-02,62,2726272
Adagrad,5.00e-02,63,3218606
Adagrad,5.00e-02,64,2728353
Adagrad,5.00e-02,65,3214519
Adagrad,5.00e-02,66,2730418
Adagrad,5.00e-02,67,3210479
Adagrad,5.00e-02,68,2732464
Adagrad,5.00e-02,69,3206487
Adagrad,5.00e-02,70,2734493
Adagrad,5.00e-02,71,3202540
Adagrad,5.00e-02,72,2736503
Adagrad,5.00e-02,73,3198637
Adagrad,5.00e-02,74,2738495
Adagrad,5.00e-02,75,3194776
Adagrad,5.00e-02,76,2740469
Adagrad,5.00e-02,77,3190958
Adagrad,5.00e-02,78,2742426
Adagrad,5.00e-02,79,3187181
Adagrad,5.00e-02,80,2744366
Adagrad,5.00e-02,81,3183446
Adagrad,5.00e-02,82,2746289
Adagrad,5.00e-02,83,3179751
Adagrad,5.00e-02,84,2748196
Adagrad,5.00e-02,85,3176096
Adagrad,5.00e-02,86,2750087
Adagrad,5.00e-02,87,3172481
Adagrad,5.00e-02,88,2751963
Adagrad,5.00e-02,89,3168905
Adagrad,5.00e-02,90,2753825
Adagrad,5.00e-02,91,3165370
Adagrad,5.00e-02,92,2755672
Adagrad,5.00e-02,93,3161871
Adagrad,5.00e-02,94,2757507
Adagrad,5.00e-02,95,3158411
Adagrad,5.00e-02,96,2759328
Adagrad,5.00e-02,97,3154990
Adagrad,5.00e-02,98,2761135
Adagrad,5.00e-02,99,3151606
Adagrad,5.00e-02,100,2762928
Adagrad,1.00e-02,1,6660104
Adagrad,1.00e-02,2,6482751
Adagrad,1.00e-02,3,6112866
Adagrad,1.00e-02,4,5577788
Adagrad,1.00e-02,5,4926781
Adagrad,1.00e-02,6,4226863
Adagrad,1.00e-02,7,3562562
Adagrad,1.00e-02,8,3033299
Adagrad,1.00e-02,9,2664329
Adagrad,1.00e-02,10,2366732
Adagrad,1.00e-02,11,2152129
Adagrad,1.00e-02,12,1947679
Adagrad,1.00e-02,13,1823260
Adagrad,1.00e-02,14,1652803
Adagrad,1.00e-02,15,1595691
Adagrad,1.00e-02,16,1450054
Adagrad,1.00e-02,17,1439505
Adagrad,1.00e-02,18,1322755
Adagrad,1.00e-02,19,1337718
Adagrad,1.00e-02,20,1233186
Adagrad,1.00e-02,21,1266979
Adagrad,1.00e-02,22,1166255
Adagrad,1.00e-02,23,1221820
Adagrad,1.00e-02,24,1138505
Adagrad,1.00e-02,25,1195930
Adagrad,1.00e-02,26,1125244
Adagrad,1.00e-02,27,1179923
Adagrad,1.00e-02,28,1115337
Adagrad,1.00e-02,29,1172603
Adagrad,1.00e-02,30,1116349
Adagrad,1.00e-02,31,1165648
Adagrad,1.00e-02,32,1116913
Adagrad,1.00e-02,33,1160844
Adagrad,1.00e-02,34,1117667
Adagrad,1.00e-02,35,1157240
Adagrad,1.00e-02,36,1117861
Adagrad,1.00e-02,37,1154247
Adagrad,1.00e-02,38,1117943
Adagrad,1.00e-02,39,1151628
Adagrad,1.00e-02,40,1118771
Adagrad,1.00e-02,41,1149303
Adagrad,1.00e-02,42,1118859
Adagrad,1.00e-02,43,1147185
Adagrad,1.00e-02,44,1119244
Adagrad,1.00e-02,45,1145260
Adagrad,1.00e-02,46,1119809
Adagrad,1.00e-02,47,1143481
Adagrad,1.00e-02,48,1119436
Adagrad,1.00e-02,49,1141806
Adagrad,1.00e-02,50,1119893
