Optimizer,learning_rate,epoch,loss
Nadam,1.00e-02,1,6660842
Nadam,1.00e-02,2,6433613
Nadam,1.00e-02,3,6000333
Nadam,1.00e-02,4,5349048
Nadam,1.00e-02,5,4512037
Nadam,1.00e-02,6,3621337
Nadam,1.00e-02,7,2955573
Nadam,1.00e-02,8,2445697
Nadam,1.00e-02,9,2104498
Nadam,1.00e-02,10,1819539
Nadam,1.00e-02,11,1637229
Nadam,1.00e-02,12,1493000
Nadam,1.00e-02,13,1425949
Nadam,1.00e-02,14,1360287
Nadam,1.00e-02,15,1357402
Nadam,1.00e-02,16,1342150
Nadam,1.00e-02,17,1366992
Nadam,1.00e-02,18,1363212
Nadam,1.00e-02,19,1394931
Nadam,1.00e-02,20,1386487
Nadam,1.00e-02,21,1424320
Nadam,1.00e-02,22,1410106
Nadam,1.00e-02,23,1454161
Nadam,1.00e-02,24,1434754
Nadam,1.00e-02,25,1484910
Nadam,1.00e-02,26,1458993
Nadam,1.00e-02,27,1520111
Nadam,1.00e-02,28,1483516
Nadam,1.00e-02,29,1551521
Nadam,1.00e-02,30,1507887
Nadam,1.00e-02,31,1583082
Nadam,1.00e-02,32,1532844
Nadam,1.00e-02,33,1614745
Nadam,1.00e-02,34,1557662
Nadam,1.00e-02,35,1646465
Nadam,1.00e-02,36,1582335
Nadam,1.00e-02,37,1675136
Nadam,1.00e-02,38,1607274
Nadam,1.00e-02,39,1706833
Nadam,1.00e-02,40,1631654
Nadam,1.00e-02,41,1738579
Nadam,1.00e-02,42,1654852
Nadam,1.00e-02,43,1770524
Nadam,1.00e-02,44,1678860
Nadam,1.00e-02,45,1802008
Nadam,1.00e-02,46,1702803
Nadam,1.00e-02,47,1833567
Nadam,1.00e-02,48,1726688
Nadam,1.00e-02,49,1862016
Nadam,1.00e-02,50,1749442
Nadam,1.00e-02,51,1890581
Nadam,1.00e-02,52,1772065
Nadam,1.00e-02,53,1922303
Nadam,1.00e-02,54,1795495
