Optimizer,learning_rate,epoch,loss
Adam,0.1,1,386226.03125
Adam,0.1,2,134825.484375
Adam,0.1,3,197573.0
Adam,0.1,4,118520.296875
Adam,0.1,5,171201.5625
Adam,0.1,6,136547.015625
Adam,0.1,7,169799.578125
Adam,0.1,8,128222.6640625
Adam,0.1,9,157187.171875
Adam,0.1,10,124751.71875
Adam,0.1,11,156100.59375
Adam,0.1,12,123942.828125
Adam,0.1,13,156240.609375
Adam,0.1,14,125212.3046875
Adam,0.05,15,157696.078125
Adam,0.05,16,126708.921875
Adam,0.05,17,83797.984375
Adam,0.05,18,61313.6640625
Adam,0.05,19,60275.25
Adam,0.05,20,60881.8203125
Adam,0.05,21,60617.61328125
Adam,0.05,22,61280.234375
Adam,0.05,23,60967.3203125
Adam,0.05,24,61767.37890625
Adam,0.05,25,61449.60546875
Adam,0.05,26,62304.40234375
Adam,0.05,27,61977.890625
Adam,0.05,28,62882.8203125
Adam,0.05,29,62536.3125
Adam,0.025,30,63481.01953125
Adam,0.025,31,63120.16015625
Adam,0.025,32,49565.29296875
Adam,0.025,33,52447.15234375
Adam,0.025,34,49874.65625
Adam,0.025,35,52410.19140625
Adam,0.025,36,49962.42578125
Adam,0.025,37,52448.953125
Adam,0.025,38,50030.23828125
Adam,0.025,39,52545.44921875
Adam,0.025,40,50104.14453125
Adam,0.025,41,52669.4609375
Adam,0.025,42,50179.6015625
Adam,0.0125,43,52806.96875
Adam,0.0125,44,50259.1015625
Adam,0.0125,45,46893.78125
Adam,0.0125,46,47948.90234375
Adam,0.0125,47,46861.7109375
Adam,0.0125,48,47764.35546875
Adam,0.0125,49,46798.83203125
Adam,0.0125,50,47602.82421875
Adam,0.0125,51,46728.8125
Adam,0.0125,52,47446.7734375
Adam,0.0125,53,46647.01171875
Adam,0.0125,54,47294.94921875
Adam,0.0125,55,46552.234375
Adam,0.0125,56,47143.48046875
Adam,0.0125,57,46440.00390625
Adam,0.0125,58,46985.55078125
Adam,0.0125,59,46316.06640625
Adam,0.0125,60,46816.25390625
Adam,0.0125,61,46169.06640625
Adam,0.0125,62,46629.2578125
Adam,0.0125,63,45993.66796875
Adam,0.0125,64,46420.5078125
Adam,0.0125,65,45786.6015625
Adam,0.0125,66,46185.93359375
Adam,0.0125,67,45551.515625
Adam,0.0125,68,45928.30078125
Adam,0.0125,69,45288.71875
Adam,0.0125,70,45648.2265625
Adam,0.0125,71,44999.078125
Adam,0.0125,72,45347.42578125
Adam,0.0125,73,44684.24609375
Adam,0.0125,74,45025.33984375
Adam,0.0125,75,44348.50390625
Adam,0.0125,76,44674.546875
Adam,0.0125,77,44000.875
Adam,0.0125,78,44314.62109375
Adam,0.0125,79,43641.9453125
Adam,0.0125,80,43953.40234375
Adam,0.0125,81,43265.93359375
Adam,0.0125,82,43587.62109375
Adam,0.0125,83,42888.30078125
Adam,0.0125,84,43219.171875
Adam,0.0125,85,42506.28125
Adam,0.0125,86,42840.33203125
Adam,0.0125,87,42118.0625
Adam,0.0125,88,42465.0078125
Adam,0.0125,89,41724.3671875
Adam,0.0125,90,42082.72265625
Adam,0.0125,91,41322.03125
Adam,0.0125,92,41697.8203125
Adam,0.0125,93,40911.5390625
Adam,0.0125,94,41299.8671875
Adam,0.0125,95,40490.27734375
Adam,0.0125,96,40887.1953125
Adam,0.0125,97,40060.2109375
Adam,0.0125,98,40462.93359375
Adam,0.0125,99,39618.91015625
Adam,0.0125,100,40028.0546875
Adam,0.0125,101,39165.828125
Adam,0.0125,102,39583.9609375
Adam,0.0125,103,38712.8828125
Adam,0.0125,104,39130.58203125
Adam,0.0125,105,38258.18359375
Adam,0.0125,106,38674.0546875
Adam,0.0125,107,37798.65625
Adam,0.0125,108,38212.67578125
Adam,0.0125,109,37341.34375
Adam,0.0125,110,37751.546875
Adam,0.0125,111,36889.921875
Adam,0.0125,112,37290.0234375
Adam,0.0125,113,36443.97265625
Adam,0.0125,114,36834.171875
Adam,0.0125,115,36007.6171875
Adam,0.0125,116,36382.77734375
Adam,0.0125,117,35579.12890625
Adam,0.0125,118,35942.12890625
Adam,0.0125,119,35162.62890625
Adam,0.0125,120,35510.5546875
Adam,0.0125,121,34756.3203125
Adam,0.0125,122,35087.6796875
Adam,0.0125,123,34365.4921875
Adam,0.0125,124,34675.5703125
Adam,0.0125,125,33987.52734375
Adam,0.0125,126,34276.47265625
Adam,0.0125,127,33619.5859375
Adam,0.0125,128,33889.62890625
Adam,0.0125,129,33269.73828125
Adam,0.0125,130,33518.6875
Adam,0.0125,131,32930.87109375
Adam,0.0125,132,33163.28515625
Adam,0.0125,133,32607.236328125
Adam,0.0125,134,32824.2265625
Adam,0.0125,135,32298.44140625
Adam,0.0125,136,32500.44140625
Adam,0.0125,137,32002.54296875
Adam,0.0125,138,32193.5234375
Adam,0.0125,139,31719.517578125
Adam,0.0125,140,31898.76171875
Adam,0.0125,141,31449.0
Adam,0.0125,142,31619.462890625
Adam,0.0125,143,31192.24609375
Adam,0.0125,144,31353.26953125
Adam,0.0125,145,30949.208984375
Adam,0.0125,146,31099.650390625
Adam,0.0125,147,30716.1171875
Adam,0.0125,148,30860.447265625
Adam,0.0125,149,30497.0
Adam,0.0125,150,30633.376953125
Adam,0.0125,151,30282.59375
Adam,0.0125,152,30419.408203125
Adam,0.0125,153,30077.8515625
Adam,0.0125,154,30215.681640625
Adam,0.0125,155,29889.44140625
Adam,0.0125,156,30025.08203125
Adam,0.0125,157,29711.974609375
Adam,0.0125,158,29846.84765625
Adam,0.0125,159,29544.53125
Adam,0.0125,160,29677.375
Adam,0.0125,161,29385.98046875
Adam,0.0125,162,29518.1640625
Adam,0.0125,163,29235.462890625
Adam,0.0125,164,29369.83203125
Adam,0.0125,165,29093.640625
Adam,0.0125,166,29231.431640625
Adam,0.0125,167,28957.498046875
Adam,0.0125,168,29098.640625
Adam,0.0125,169,28817.986328125
Adam,0.0125,170,28977.0078125
Adam,0.0125,171,28699.7265625
Adam,0.0125,172,28860.615234375
Adam,0.0125,173,28584.6484375
Adam,0.0125,174,28753.962890625
Adam,0.0125,175,28469.876953125
Adam,0.0125,176,28650.21484375
Adam,0.0125,177,28372.580078125
Adam,0.0125,178,28554.904296875
Adam,0.0125,179,28272.208984375
Adam,0.0125,180,28464.416015625
Adam,0.0125,181,28182.474609375
Adam,0.0125,182,28379.580078125
Adam,0.0125,183,28096.982421875
Adam,0.0125,184,28296.638671875
Adam,0.0125,185,28011.24609375
Adam,0.0125,186,28222.130859375
Adam,0.0125,187,27937.078125
Adam,0.0125,188,28143.474609375
Adam,0.0125,189,27866.90234375
Adam,0.0125,190,28070.326171875
Adam,0.0125,191,27800.20703125
Adam,0.0125,192,28008.6640625
Adam,0.0125,193,27726.05859375
Adam,0.0125,194,27950.345703125
Adam,0.0125,195,27663.78125
Adam,0.0125,196,27892.0078125
Adam,0.0125,197,27602.5
Adam,0.0125,198,27836.572265625
Adam,0.0125,199,27537.888671875
Adam,0.0125,200,27781.287109375
Adam,0.0125,201,27468.08984375
Adam,0.0125,202,27726.685546875
Adam,0.0125,203,27406.3125
Adam,0.0125,204,27670.201171875
Adam,0.0125,205,27344.814453125
Adam,0.0125,206,27612.625
Adam,0.0125,207,27280.611328125
Adam,0.0125,208,27555.4765625
Adam,0.0125,209,27216.234375
Adam,0.0125,210,27498.767578125
Adam,0.0125,211,27154.4921875
Adam,0.0125,212,27440.05078125
Adam,0.0125,213,27092.958984375
Adam,0.0125,214,27383.833984375
Adam,0.0125,215,27019.099609375
Adam,0.0125,216,27326.6640625
Adam,0.0125,217,26962.296875
Adam,0.0125,218,27271.728515625
Adam,0.0125,219,26909.4921875
Adam,0.0125,220,27207.62890625
Adam,0.0125,221,26860.865234375
Adam,0.0125,222,27142.962890625
Adam,0.0125,223,26814.2734375
Adam,0.0125,224,27094.78515625
Adam,0.0125,225,26770.38671875
Adam,0.0125,226,27050.4296875
Adam,0.0125,227,26730.708984375
Adam,0.0125,228,27008.8671875
Adam,0.0125,229,26696.01953125
Adam,0.0125,230,26968.361328125
Adam,0.0125,231,26664.361328125
Adam,0.0125,232,26931.228515625
Adam,0.0125,233,26624.787109375
Adam,0.0125,234,26898.00390625
Adam,0.0125,235,26596.66015625
Adam,0.0125,236,26865.138671875
Adam,0.0125,237,26572.609375
Adam,0.0125,238,26833.962890625
Adam,0.0125,239,26549.65625
Adam,0.0125,240,26805.384765625
Adam,0.0125,241,26528.869140625
Adam,0.0125,242,26777.091796875
Adam,0.0125,243,26507.12109375
Adam,0.0125,244,26750.05859375
Adam,0.0125,245,26487.291015625
Adam,0.0125,246,26722.61328125
Adam,0.0125,247,26468.0390625
Adam,0.0125,248,26697.4296875
Adam,0.0125,249,26448.015625
Adam,0.0125,250,26670.396484375
Adam,0.0125,251,26429.171875
Adam,0.0125,252,26645.671875
Adam,0.0125,253,26393.255859375
Adam,0.0125,254,26620.935546875
Adam,0.0125,255,26372.328125
Adam,0.0125,256,26594.314453125
Adam,0.0125,257,26351.439453125
Adam,0.0125,258,26568.740234375
Adam,0.0125,259,26329.533203125
Adam,0.0125,260,26542.38671875
Adam,0.0125,261,26287.21875
Adam,0.0125,262,26514.529296875
Adam,0.0125,263,26265.87890625
Adam,0.0125,264,26486.015625
Adam,0.0125,265,26244.21484375
Adam,0.0125,266,26461.177734375
Adam,0.0125,267,26223.556640625
Adam,0.0125,268,26425.591796875
Adam,0.0125,269,26201.259765625
Adam,0.0125,270,26387.689453125
Adam,0.0125,271,26181.064453125
Adam,0.0125,272,26366.869140625
Adam,0.0125,273,26154.580078125
Adam,0.0125,274,26345.92578125
Adam,0.0125,275,26138.234375
Adam,0.0125,276,26327.939453125
Adam,0.0125,277,26109.337890625
Adam,0.0125,278,26310.71484375
Adam,0.0125,279,26094.85546875
Adam,0.0125,280,26293.12890625
Adam,0.0125,281,26080.669921875
Adam,0.0125,282,26279.298828125
Adam,0.0125,283,26068.818359375
Adam,0.0125,284,26265.203125
Adam,0.0125,285,26060.2734375
Adam,0.0125,286,26254.7109375
Adam,0.0125,287,26053.966796875
Adam,0.0125,288,26245.017578125
Adam,0.0125,289,26047.888671875
Adam,0.0125,290,26236.79296875
Adam,0.0125,291,26042.9453125
Adam,0.0125,292,26230.05078125
Adam,0.0125,293,26036.033203125
Adam,0.0125,294,26226.345703125
Adam,0.0125,295,26027.982421875
Adam,0.0125,296,26223.119140625
Adam,0.0125,297,26019.703125
Adam,0.0125,298,26219.9375
Adam,0.0125,299,26013.03515625
Adam,0.0125,300,26217.6171875
