Optimizer,learning_rate,epoch,loss
Adam,5.00e-02,1,6660690
Adam,5.00e-02,2,4146924
Adam,5.00e-02,3,3021932
Adam,5.00e-02,4,2291177
Adam,5.00e-02,5,2183650
Adam,5.00e-02,6,1727885
Adam,5.00e-02,7,1756849
Adam,5.00e-02,8,1439003
Adam,5.00e-02,9,1496178
Adam,5.00e-02,10,1334745
Adam,5.00e-02,11,1410869
Adam,5.00e-02,12,1321743
Adam,5.00e-02,13,1408841
Adam,5.00e-02,14,1329669
Adam,5.00e-02,15,1412085
Adam,5.00e-02,16,1336373
Adam,5.00e-02,17,1419309
Adam,5.00e-02,18,1344963
Adam,5.00e-02,19,1427478
Adam,5.00e-02,20,1354567
Adam,5.00e-02,21,1438000
Adam,5.00e-02,22,1366224
Adam,5.00e-02,23,1453649
Adam,5.00e-02,24,1379449
Adam,5.00e-02,25,1466965
Adam,5.00e-02,26,1393967
Adam,5.00e-02,27,1481219
Adam,5.00e-02,28,1409551
Adam,5.00e-02,29,1496235
Adam,5.00e-02,30,1426066
Adam,5.00e-02,31,1511887
Adam,5.00e-02,32,1443404
Adam,5.00e-02,33,1528056
Adam,5.00e-02,34,1461458
Adam,5.00e-02,35,1544655
Adam,5.00e-02,36,1480162
Adam,5.00e-02,37,1561603
Adam,5.00e-02,38,1499427
Adam,5.00e-02,39,1578837
Adam,5.00e-02,40,1519200
Adam,5.00e-02,41,1596305
Adam,5.00e-02,42,1539434
Adam,5.00e-02,43,1613956
Adam,5.00e-02,44,1560063
Adam,5.00e-02,45,1631755
Adam,5.00e-02,46,1581059
Adam,5.00e-02,47,1649660
Adam,5.00e-02,48,1602368
Adam,5.00e-02,49,1667640
Adam,5.00e-02,50,1623953
Adam,5.00e-02,51,1685667
Adam,5.00e-02,52,1645789
Adam,5.00e-02,53,1703717
Adam,5.00e-02,54,1667838
Adam,5.00e-02,55,1721771
Adam,5.00e-02,56,1690082
Adam,5.00e-02,57,1739815
Adam,5.00e-02,58,1712499
Adam,5.00e-02,59,1757836
Adam,5.00e-02,60,1735069
Adam,5.00e-02,61,1775818
Adam,5.00e-02,62,1757776
Adam,5.00e-02,63,1793754
Adam,5.00e-02,64,1780584
Adam,5.00e-02,65,1811636
Adam,5.00e-02,66,1803460
Adam,5.00e-02,67,1829450
Adam,5.00e-02,68,1826432
Adam,5.00e-02,69,1847193
