Optimizer,learning_rate,epoch,loss
Ftrl,5.00e-01,1,6660618
Ftrl,5.00e-01,2,2134563968
Ftrl,5.00e-01,3,46087212
Ftrl,5.00e-01,4,2296010496
Ftrl,5.00e-01,5,43634584
Ftrl,5.00e-01,6,2233286656
Ftrl,5.00e-01,7,40495588
Ftrl,5.00e-01,8,2023172864
Ftrl,5.00e-01,9,57095436
Ftrl,5.00e-01,10,1909099264
Ftrl,5.00e-01,11,53731980
Ftrl,5.00e-01,12,1898795392
Ftrl,5.00e-01,13,64633508
Ftrl,5.00e-01,14,1773566976
Ftrl,5.00e-01,15,67970808
Ftrl,5.00e-01,16,1468994176
Ftrl,5.00e-01,17,110944464
Ftrl,5.00e-01,18,1001251520
Ftrl,5.00e-01,19,170558048
Ftrl,5.00e-01,20,971292160
Ftrl,5.00e-01,21,172999424
Ftrl,5.00e-01,22,850010304
Ftrl,5.00e-01,23,193365392
Ftrl,5.00e-01,24,768789440
Ftrl,5.00e-01,25,204181952
Ftrl,5.00e-01,26,724734976
Ftrl,5.00e-01,27,204006864
Ftrl,5.00e-01,28,675502976
Ftrl,5.00e-01,29,204019760
Ftrl,5.00e-01,30,658309504
Ftrl,5.00e-01,31,187912224
Ftrl,5.00e-01,32,524312064
Ftrl,5.00e-01,33,141616912
Ftrl,5.00e-01,34,433855808
Ftrl,5.00e-01,35,155273104
Ftrl,5.00e-01,36,288108160
Ftrl,5.00e-01,37,164626880
Ftrl,5.00e-01,38,253880464
Ftrl,5.00e-01,39,187906016
Ftrl,5.00e-01,40,189168256
Ftrl,5.00e-01,41,223271920
Ftrl,5.00e-01,42,233361312
Ftrl,5.00e-01,43,165968560
Ftrl,5.00e-01,44,230597856
Ftrl,5.00e-01,45,427975136
Ftrl,5.00e-01,46,752747776
Ftrl,5.00e-01,47,757818752
Ftrl,5.00e-01,48,1760178816
Ftrl,5.00e-01,49,808850112
Ftrl,5.00e-01,50,2184581120
Ftrl,5.00e-01,51,1098909184
Ftrl,5.00e-01,52,2432831744
Ftrl,5.00e-01,53,1142963584
Ftrl,5.00e-01,54,1960160768
Ftrl,5.00e-01,55,1083347712
Ftrl,5.00e-01,56,1649346048
Ftrl,5.00e-01,57,1008347392
Ftrl,5.00e-01,58,1544124928
Ftrl,5.00e-01,59,963378496
Ftrl,5.00e-01,60,1292542848
Ftrl,5.00e-01,61,992132032
Ftrl,5.00e-01,62,994000640
Ftrl,5.00e-01,63,1075759488
Ftrl,5.00e-01,64,897918528
