Optimizer,learning_rate,epoch,loss
RMSprop,5.00e-02,1,6660215
RMSprop,5.00e-02,2,31168982
RMSprop,5.00e-02,3,6660216
RMSprop,5.00e-02,4,31168836
RMSprop,5.00e-02,5,6660216
RMSprop,5.00e-02,6,31168686
RMSprop,5.00e-02,7,6660216
RMSprop,5.00e-02,8,31168536
RMSprop,5.00e-02,9,6660216
RMSprop,5.00e-02,10,31168388
RMSprop,5.00e-02,11,6660216
RMSprop,5.00e-02,12,31168236
RMSprop,5.00e-02,13,6660216
RMSprop,5.00e-02,14,31168088
RMSprop,5.00e-02,15,6660217
RMSprop,5.00e-02,16,31167938
RMSprop,5.00e-02,17,6660218
RMSprop,5.00e-02,18,31167786
RMSprop,5.00e-02,19,6660218
RMSprop,5.00e-02,20,31167638
RMSprop,5.00e-02,21,6660218
RMSprop,5.00e-02,22,31167492
RMSprop,5.00e-02,23,6660219
RMSprop,5.00e-02,24,31167340
RMSprop,5.00e-02,25,6660219
RMSprop,5.00e-02,26,31167188
RMSprop,5.00e-02,27,6660220
RMSprop,5.00e-02,28,31167040
RMSprop,5.00e-02,29,6660220
RMSprop,5.00e-02,30,31166892
RMSprop,5.00e-02,31,6660220
RMSprop,5.00e-02,32,31166744
RMSprop,5.00e-02,33,6660220
RMSprop,5.00e-02,34,31166592
RMSprop,5.00e-02,35,6660220
RMSprop,5.00e-02,36,31166446
RMSprop,5.00e-02,37,6660221
RMSprop,5.00e-02,38,31166292
RMSprop,5.00e-02,39,6660222
RMSprop,5.00e-02,40,31166142
RMSprop,5.00e-02,41,6660223
RMSprop,5.00e-02,42,31165994
RMSprop,5.00e-02,43,6660223
RMSprop,5.00e-02,44,31165840
RMSprop,5.00e-02,45,6660223
RMSprop,5.00e-02,46,31165696
RMSprop,5.00e-02,47,6660223
RMSprop,5.00e-02,48,31165546
RMSprop,5.00e-02,49,6660223
RMSprop,5.00e-02,50,31165398
RMSprop,5.00e-02,51,6660224
RMSprop,5.00e-02,52,31165246
RMSprop,5.00e-02,53,6660224
RMSprop,5.00e-02,54,31165098
RMSprop,5.00e-02,55,6660224
RMSprop,5.00e-02,56,31164948
