Optimizer,learning_rate,epoch,loss
SGD,1.00e-04,1,6660188
SGD,1.00e-04,2,3327708
SGD,1.00e-04,3,2552585
SGD,1.00e-04,4,2216392
SGD,1.00e-04,5,2020108
SGD,1.00e-04,6,1885633
SGD,1.00e-04,7,1784885
SGD,1.00e-04,8,1705356
SGD,1.00e-04,9,1640548
SGD,1.00e-04,10,1586587
SGD,1.00e-04,11,1540987
SGD,1.00e-04,12,1502001
SGD,1.00e-04,13,1468380
SGD,1.00e-04,14,1439167
SGD,1.00e-04,15,1413638
SGD,1.00e-04,16,1391203
SGD,1.00e-04,17,1371404
SGD,1.00e-04,18,1353853
SGD,1.00e-04,19,1338240
SGD,1.00e-04,20,1324298
SGD,1.00e-04,21,1311808
SGD,1.00e-04,22,1300578
SGD,1.00e-04,23,1290449
SGD,1.00e-04,24,1281280
SGD,1.00e-04,25,1272950
SGD,1.00e-04,26,1265354
SGD,1.00e-04,27,1258400
SGD,1.00e-04,28,1252005
SGD,1.00e-04,29,1246099
SGD,1.00e-04,30,1240616
SGD,1.00e-04,31,1235501
SGD,1.00e-04,32,1230701
SGD,1.00e-04,33,1226170
SGD,1.00e-04,34,1221868
SGD,1.00e-04,35,1217758
SGD,1.00e-04,36,1213805
SGD,1.00e-04,37,1209978
SGD,1.00e-04,38,1206251
SGD,1.00e-04,39,1202597
SGD,1.00e-04,40,1198996
SGD,1.00e-04,41,1195426
SGD,1.00e-04,42,1191871
SGD,1.00e-04,43,1188314
SGD,1.00e-04,44,1184742
SGD,1.00e-04,45,1181145
SGD,1.00e-04,46,1177514
SGD,1.00e-04,47,1173841
SGD,1.00e-04,48,1170125
SGD,1.00e-04,49,1166362
SGD,1.00e-04,50,1162554
SGD,1.00e-04,51,1158702
SGD,1.00e-04,52,1154812
SGD,1.00e-04,53,1150890
SGD,1.00e-04,54,1146945
SGD,1.00e-04,55,1142987
SGD,1.00e-04,56,1139025
SGD,1.00e-04,57,1135073
SGD,1.00e-04,58,1131142
SGD,1.00e-04,59,1127244
SGD,1.00e-04,60,1123391
SGD,1.00e-04,61,1119594
SGD,1.00e-04,62,1115863
SGD,1.00e-04,63,1112208
SGD,1.00e-04,64,1108635
SGD,1.00e-04,65,1105152
SGD,1.00e-04,66,1101762
SGD,1.00e-04,67,1098469
SGD,1.00e-04,68,1095275
SGD,1.00e-04,69,1092180
SGD,1.00e-04,70,1089183
SGD,1.00e-04,71,1086284
SGD,1.00e-04,72,1083478
SGD,1.00e-04,73,1080765
SGD,1.00e-04,74,1078139
SGD,1.00e-04,75,1075598
SGD,1.00e-04,76,1073138
SGD,1.00e-04,77,1070754
SGD,1.00e-04,78,1068444
SGD,1.00e-04,79,1066202
SGD,1.00e-04,80,1064027
SGD,1.00e-04,81,1061914
SGD,1.00e-04,82,1059859
SGD,1.00e-04,83,1057862
SGD,1.00e-04,84,1055917
SGD,1.00e-04,85,1054024
SGD,1.00e-04,86,1052179
SGD,1.00e-04,87,1050380
SGD,1.00e-04,88,1048626
SGD,1.00e-04,89,1046913
SGD,1.00e-04,90,1045242
SGD,1.00e-04,91,1043610
SGD,1.00e-04,92,1042015
SGD,1.00e-04,93,1040456
SGD,1.00e-04,94,1038932
SGD,1.00e-04,95,1037441
SGD,1.00e-04,96,1035983
SGD,1.00e-04,97,1034556
SGD,1.00e-04,98,1033160
SGD,1.00e-04,99,1031792
SGD,1.00e-04,100,1030453
SGD,5.00e-05,1,6660600
SGD,5.00e-05,2,3652484
SGD,5.00e-05,3,2841418
SGD,5.00e-05,4,2426278
SGD,5.00e-05,5,2172201
SGD,5.00e-05,6,2001452
SGD,5.00e-05,7,1879099
SGD,5.00e-05,8,1787066
SGD,5.00e-05,9,1715183
SGD,5.00e-05,10,1657362
SGD,5.00e-05,11,1609759
SGD,5.00e-05,12,1569837
SGD,5.00e-05,13,1535853
SGD,5.00e-05,14,1506568
SGD,5.00e-05,15,1481073
SGD,5.00e-05,16,1458686
SGD,5.00e-05,17,1438883
SGD,5.00e-05,18,1421255
SGD,5.00e-05,19,1405473
SGD,5.00e-05,20,1391275
SGD,5.00e-05,21,1378444
SGD,5.00e-05,22,1366803
SGD,5.00e-05,23,1356201
SGD,5.00e-05,24,1346514
SGD,5.00e-05,25,1337635
SGD,5.00e-05,26,1329471
SGD,5.00e-05,27,1321945
SGD,5.00e-05,28,1314989
SGD,5.00e-05,29,1308545
SGD,5.00e-05,30,1302559
SGD,5.00e-05,31,1296987
SGD,5.00e-05,32,1291789
SGD,5.00e-05,33,1286929
SGD,5.00e-05,34,1282377
SGD,5.00e-05,35,1278104
SGD,5.00e-05,36,1274086
SGD,5.00e-05,37,1270299
SGD,5.00e-05,38,1266725
SGD,5.00e-05,39,1263344
SGD,5.00e-05,40,1260140
SGD,5.00e-05,41,1257100
SGD,5.00e-05,42,1254208
SGD,5.00e-05,43,1251453
SGD,5.00e-05,44,1248823
SGD,5.00e-05,45,1246309
SGD,5.00e-05,46,1243901
SGD,5.00e-05,47,1241590
SGD,5.00e-05,48,1239369
SGD,5.00e-05,49,1237230
SGD,5.00e-05,50,1235165
SGD,5.00e-05,51,1233170
SGD,5.00e-05,52,1231238
SGD,5.00e-05,53,1229363
SGD,5.00e-05,54,1227541
SGD,5.00e-05,55,1225766
SGD,5.00e-05,56,1224035
SGD,5.00e-05,57,1222343
SGD,5.00e-05,58,1220686
SGD,5.00e-05,59,1219060
SGD,5.00e-05,60,1217462
SGD,5.00e-05,61,1215889
SGD,5.00e-05,62,1214336
SGD,5.00e-05,63,1212803
SGD,5.00e-05,64,1211284
SGD,5.00e-05,65,1209779
SGD,5.00e-05,66,1208284
SGD,5.00e-05,67,1206797
SGD,5.00e-05,68,1205315
SGD,5.00e-05,69,1203837
SGD,5.00e-05,70,1202360
SGD,5.00e-05,71,1200882
SGD,5.00e-05,72,1199402
SGD,5.00e-05,73,1197917
SGD,5.00e-05,74,1196426
SGD,5.00e-05,75,1194928
SGD,5.00e-05,76,1193420
SGD,5.00e-05,77,1191901
SGD,5.00e-05,78,1190371
SGD,5.00e-05,79,1188828
SGD,5.00e-05,80,1187270
SGD,5.00e-05,81,1185697
SGD,5.00e-05,82,1184109
SGD,5.00e-05,83,1182503
SGD,5.00e-05,84,1180880
SGD,5.00e-05,85,1179239
SGD,5.00e-05,86,1177579
SGD,5.00e-05,87,1175900
SGD,5.00e-05,88,1174203
SGD,5.00e-05,89,1172486
SGD,5.00e-05,90,1170750
SGD,5.00e-05,91,1168995
SGD,5.00e-05,92,1167221
SGD,5.00e-05,93,1165430
SGD,5.00e-05,94,1163620
SGD,5.00e-05,95,1161794
SGD,5.00e-05,96,1159950
SGD,5.00e-05,97,1158092
SGD,5.00e-05,98,1156219
SGD,5.00e-05,99,1154332
