Optimizer,learning_rate,epoch,loss
ADAM,0.01,1,126510286.31896973
ADAM,0.01,2,59149477.5692749
ADAM,0.01,3,48907517.74066162
ADAM,0.01,4,38439559.83721924
ADAM,0.01,5,32421864.632141113
ADAM,0.01,6,28426319.840270996
ADAM,0.01,7,25714696.978118896
ADAM,0.01,8,23816059.48980713
ADAM,0.01,9,22696402.208984375
ADAM,0.01,10,21719452.265655518
ADAM,0.01,11,21051643.573760986
ADAM,0.01,12,20584780.14807129
ADAM,0.01,13,20177942.564208984
ADAM,0.01,14,19891509.183532715
ADAM,0.01,15,19641780.437835693
ADAM,0.01,16,19492200.76989746
ADAM,0.01,17,19332858.57623291
ADAM,0.01,18,19211011.576660156
ADAM,0.01,19,19085123.79663086
ADAM,0.01,20,19063972.200531006
ADAM,0.01,21,18948053.81463623
ADAM,0.01,22,18868891.734039307
ADAM,0.01,23,18784825.726104736
ADAM,0.01,24,18764456.123565674
ADAM,0.01,25,18698427.571380615
ADAM,0.01,26,18648036.453857422
ADAM,0.01,27,18609661.480316162
ADAM,0.01,28,18587682.55496216
ADAM,0.01,29,18551281.47781372
ADAM,0.01,30,18518766.31298828
ADAM,0.01,31,18484284.720336914
ADAM,0.01,32,18470414.607513428
ADAM,0.01,33,18447824.019195557
ADAM,0.01,34,18426338.329223633
ADAM,0.01,35,18406633.779785156
ADAM,0.01,36,18404042.365997314
ADAM,0.01,37,18367258.341674805
ADAM,0.01,38,18374166.469604492
ADAM,0.01,39,18332982.979492188
ADAM,0.01,40,18322535.09222412
ADAM,0.01,41,18307351.24258423
ADAM,0.01,42,18297327.05328369
ADAM,0.01,43,18304772.638031006
ADAM,0.01,44,18265455.11013794
ADAM,0.01,45,18292263.553100586
ADAM,0.01,46,18258156.4586792
ADAM,0.01,47,18257245.908325195
ADAM,0.01,48,18261545.233673096
ADAM,0.01,49,18238211.334106445
ADAM,0.01,50,18236903.257598877
ADAM,0.01,51,18235683.148895264
ADAM,0.01,52,18220301.940979004
ADAM,0.01,53,18216555.926605225
ADAM,0.01,54,18207687.012023926
ADAM,0.01,55,18210265.12814331
ADAM,0.01,56,18199528.60546875
ADAM,0.01,57,18180374.1434021
ADAM,0.01,58,18188686.23815918
ADAM,0.01,59,18201050.495635986
ADAM,0.01,60,18163066.99359131
ADAM,0.01,61,18197898.441223145
ADAM,0.01,62,18146762.796539307
ADAM,0.01,63,18162198.840942383
ADAM,0.01,64,18167780.220581055
ADAM,0.01,65,18158312.89932251
ADAM,0.01,66,18155526.647216797
ADAM,0.01,67,18159625.768218994
ADAM,0.01,68,18149798.62741089
ADAM,0.01,69,18134927.812194824
ADAM,0.01,70,18138267.382476807
ADAM,0.01,71,18132708.828216553
ADAM,0.01,72,18131964.334136963
ADAM,0.01,73,18137733.775665283
ADAM,0.01,74,18134970.53097534
ADAM,0.01,75,18107404.870544434
ADAM,0.01,76,18118963.308898926
ADAM,0.01,77,18127360.910949707
ADAM,0.01,78,18124986.22695923
ADAM,0.01,79,18105110.78286743
ADAM,0.01,80,18114112.305541992
ADAM,0.01,81,18106787.773773193
ADAM,0.01,82,18129690.387268066
ADAM,0.01,83,18089761.227355957
ADAM,0.01,84,18108454.849365234
ADAM,0.01,85,18091076.49508667
ADAM,0.01,86,18104581.30456543
ADAM,0.01,87,18099854.501556396
ADAM,0.01,88,18088269.939453125
ADAM,0.01,89,18088016.924072266
ADAM,0.01,90,18079058.978759766
ADAM,0.01,91,18089274.59527588
ADAM,0.01,92,18103926.488250732
ADAM,0.01,93,18076589.05581665
ADAM,0.01,94,18085530.99395752
ADAM,0.01,95,18080487.91531372
ADAM,0.01,96,18066201.23666382
ADAM,0.01,97,18071975.138427734
ADAM,0.01,98,18082494.99459839
ADAM,0.01,99,18073069.59613037
ADAM,0.01,100,18067047.085113525
Optimizer,learning_rate,epoch,loss
Optimizer,learning_rate,epoch,loss
ADAM,0.01,1,7097809.334472656
Optimizer,learning_rate,epoch,loss
ADAM,0.01,1,18269063.092315674
ADAM,0.01,2,18177895.74935913
ADAM,0.01,3,18176474.78475952
ADAM,0.01,4,18155774.2706604
ADAM,0.01,5,18166775.59564209
ADAM,0.01,6,18155481.062591553
ADAM,0.01,7,18158944.51260376
ADAM,0.01,8,18157967.395263672
ADAM,0.01,9,18183861.729614258
ADAM,0.01,10,18169646.26199341
ADAM,0.01,11,18164871.66040039
ADAM,0.01,12,18177320.781982422
ADAM,0.01,13,18162722.78262329
ADAM,0.01,14,18173627.30154419
ADAM,0.01,15,18165377.242218018
ADAM,0.01,16,18184982.4848938
ADAM,0.01,17,18170241.808624268
ADAM,0.01,18,18166779.110321045
ADAM,0.01,19,18175592.28933716
ADAM,0.01,20,18186047.883728027
ADAM,0.01,21,18177441.153930664
ADAM,0.01,22,18174942.123901367
ADAM,0.01,23,18193107.006256104
ADAM,0.01,24,18184977.68737793
ADAM,0.01,25,18167248.895507812
ADAM,0.01,26,18176998.12133789
ADAM,0.01,27,18177228.83932495
ADAM,0.01,28,18181099.426574707
ADAM,0.01,29,18175487.181427002
ADAM,0.01,30,18180195.95663452
ADAM,0.01,31,18173912.29800415
ADAM,0.01,32,18182135.213684082
ADAM,0.01,33,18187867.655303955
ADAM,0.01,34,18183705.70666504
ADAM,0.01,35,18179951.330566406
ADAM,0.01,36,18182014.892669678
ADAM,0.01,37,18173441.484680176
