Optimizer,learning_rate,epoch,loss
ADAM,0.01,1,98939310.17041016
ADAM,0.01,2,53143803.02520752
ADAM,0.01,3,51597689.99731445
ADAM,0.01,4,50505888.03466797
ADAM,0.01,5,49022064.47949219
ADAM,0.01,6,46263693.20648193
ADAM,0.01,7,43239558.06890869
ADAM,0.01,8,40538409.73144531
ADAM,0.01,9,37933459.93640137
ADAM,0.01,10,35637592.1607666
ADAM,0.01,11,33771109.09375
ADAM,0.01,12,32246135.68218994
ADAM,0.01,13,30971738.635559082
ADAM,0.01,14,29874125.432861328
ADAM,0.01,15,28911595.639770508
ADAM,0.01,16,28055780.57775879
ADAM,0.01,17,27286949.408050537
ADAM,0.01,18,26589281.13052368
ADAM,0.01,19,25936700.30026245
ADAM,0.01,20,25347831.561401367
ADAM,0.01,21,24793157.227752686
ADAM,0.01,22,24282093.292877197
ADAM,0.01,23,23799466.242523193
ADAM,0.01,24,23348869.847686768
ADAM,0.01,25,22926313.91256714
ADAM,0.01,26,22537358.58908081
ADAM,0.01,27,22169209.453857422
ADAM,0.01,28,21824179.095703125
ADAM,0.01,29,21500885.623840332
ADAM,0.01,30,21197680.96722412
ADAM,0.01,31,20914136.717712402
ADAM,0.01,32,20647580.15045166
ADAM,0.01,33,20395278.746520996
ADAM,0.01,34,20161267.15701294
ADAM,0.01,35,19936200.203552246
ADAM,0.01,36,19725354.58706665
ADAM,0.01,37,19528766.522094727
ADAM,0.01,38,19342696.489624023
ADAM,0.01,39,19168723.918426514
ADAM,0.01,40,19003747.504974365
ADAM,0.01,41,18847494.370056152
ADAM,0.01,42,18703004.0435791
ADAM,0.01,43,18564453.52471924
ADAM,0.01,44,18434146.64529419
ADAM,0.01,45,18311248.188568115
ADAM,0.01,46,18196892.464630127
ADAM,0.01,47,18087587.561553955
ADAM,0.01,48,17984905.92831421
ADAM,0.01,49,17890518.126861572
ADAM,0.01,50,17797805.993499756
ADAM,0.01,51,17712258.888793945
ADAM,0.01,52,17630995.679351807
ADAM,0.01,53,17554695.55227661
ADAM,0.01,54,17482299.078704834
ADAM,0.01,55,17412976.589630127
ADAM,0.01,56,17348294.647460938
ADAM,0.01,57,17286474.646209717
ADAM,0.01,58,17229248.150787354
ADAM,0.01,59,17172942.590026855
ADAM,0.01,60,17121851.425964355
ADAM,0.01,61,17072481.687591553
ADAM,0.01,62,17023809.66937256
ADAM,0.01,63,16979712.494659424
ADAM,0.01,64,16936551.261169434
ADAM,0.01,65,16895596.83718872
ADAM,0.01,66,16856215.261413574
ADAM,0.01,67,16818741.15270996
ADAM,0.01,68,16782988.72720337
ADAM,0.01,69,16748861.454315186
ADAM,0.01,70,16714155.794433594
ADAM,0.01,71,16683530.703216553
ADAM,0.01,72,16653762.996948242
ADAM,0.01,73,16624852.11251831
ADAM,0.01,74,16595702.503417969
ADAM,0.01,75,16568749.08139038
ADAM,0.01,76,16543614.554412842
ADAM,0.01,77,16518609.069519043
ADAM,0.01,78,16493547.929138184
ADAM,0.01,79,16469917.816802979
ADAM,0.01,80,16447707.988555908
ADAM,0.01,81,16426196.331756592
ADAM,0.01,82,16405256.602172852
ADAM,0.01,83,16385038.514648438
ADAM,0.01,84,16365528.29751587
ADAM,0.01,85,16346348.83972168
ADAM,0.01,86,16328970.849151611
ADAM,0.01,87,16310161.03894043
ADAM,0.01,88,16293233.339477539
ADAM,0.01,89,16276312.83581543
ADAM,0.01,90,16260298.712249756
ADAM,0.01,91,16244081.938964844
ADAM,0.01,92,16228810.781860352
ADAM,0.01,93,16213311.415496826
ADAM,0.01,94,16198934.651916504
ADAM,0.01,95,16185364.406799316
ADAM,0.01,96,16171270.55871582
ADAM,0.01,97,16158112.150512695
ADAM,0.01,98,16144590.988006592
ADAM,0.01,99,16132224.547546387
ADAM,0.01,100,16120134.044189453
