Optimizer,learning_rate,epoch,loss
ADAM,0.0025,1,238114041.77520752
ADAM,0.0025,2,163302402.4732666
ADAM,0.0025,3,113630401.18099976
ADAM,0.0025,4,100556556.90158081
ADAM,0.0025,5,94997479.40975952
ADAM,0.0025,6,92340387.13980103
ADAM,0.0025,7,91315178.59506226
ADAM,0.0025,8,91476257.37918091
ADAM,0.0025,9,92398517.20751953
ADAM,0.0025,10,93758004.17807007
ADAM,0.0025,11,95229060.91818237
ADAM,0.0025,12,96619407.74642944
ADAM,0.0025,13,97849740.47613525
ADAM,0.0025,14,98873742.38815308
ADAM,0.0025,15,99634319.337677
ADAM,0.0025,16,100057989.20236206
ADAM,0.0025,17,100115373.79542542
ADAM,0.0025,18,99755536.78878784
ADAM,0.0025,19,98921710.43659973
ADAM,0.0025,20,97556078.39027405
ADAM,0.0025,21,95568602.19548035
ADAM,0.0025,22,92804765.27482605
ADAM,0.0025,23,89060386.2632904
ADAM,0.0025,24,84269682.70648193
ADAM,0.0025,25,78692006.30244446
ADAM,0.0025,26,72747693.1151123
ADAM,0.0025,27,66863081.11071777
ADAM,0.0025,28,61356722.959106445
ADAM,0.0025,29,56381903.19692993
ADAM,0.0025,30,51987626.93344116
ADAM,0.0025,31,48147777.668655396
ADAM,0.0025,32,44812812.406448364
ADAM,0.0025,33,41909086.10948181
ADAM,0.0025,34,39366297.180618286
ADAM,0.0025,35,37120307.39279938
ADAM,0.0025,36,35117332.88998413
ADAM,0.0025,37,33310853.529266357
ADAM,0.0025,38,31670030.147712708
ADAM,0.0025,39,30180357.15171814
ADAM,0.0025,40,28813141.474884033
ADAM,0.0025,41,27554305.280090332
ADAM,0.0025,42,26395707.716918945
ADAM,0.0025,43,25331093.082962036
ADAM,0.0025,44,24348971.253990173
ADAM,0.0025,45,23452397.579589844
ADAM,0.0025,46,22646013.69164276
ADAM,0.0025,47,21923199.344417572
ADAM,0.0025,48,21282448.30085373
ADAM,0.0025,49,20713864.097000122
ADAM,0.0025,50,20213940.37936783
Optimizer,learning_rate,epoch,loss
ADAM,0.0025,1,19675734.35811615
ADAM,0.0025,2,18487970.89805889
ADAM,0.0025,3,19411484.629083633
ADAM,0.0025,4,17677752.23579216
ADAM,0.0025,5,23799128.731060028
ADAM,0.0025,6,23773081.961133957
ADAM,0.0025,7,25629049.407193184
ADAM,0.0025,8,25500987.14258194
ADAM,0.0025,9,26210774.555026054
ADAM,0.0025,10,25719243.939590454
ADAM,0.0025,11,26123851.964426994
ADAM,0.0025,12,25249519.62453842
ADAM,0.0025,13,25425880.223111153
ADAM,0.0025,14,24662960.263065338
ADAM,0.0025,15,24544496.536467552
ADAM,0.0025,16,23873909.788312912
ADAM,0.0025,17,23767852.979605675
ADAM,0.0025,18,23023971.569293976
ADAM,0.0025,19,23032149.315346718
ADAM,0.0025,20,22454047.296344757
ADAM,0.0025,21,22455850.001529694
ADAM,0.0025,22,22014876.788305283
ADAM,0.0025,23,21948538.99396324
ADAM,0.0025,24,21250187.843427658
ADAM,0.0025,25,21207513.296347618
Optimizer,learning_rate,epoch,loss
ADAM,0.0025,1,20863789.481739044
ADAM,0.0025,2,21400428.138944626
ADAM,0.0025,3,19012853.921528816
ADAM,0.0025,4,18006233.06597519
ADAM,0.0025,5,17845466.038393974
ADAM,0.0025,6,17832930.80478382
ADAM,0.0025,7,17920082.295297623
ADAM,0.0025,8,17837876.25871277
ADAM,0.0025,9,17813737.21735573
ADAM,0.0025,10,17670769.483642578
ADAM,0.0025,11,17622947.50130844
ADAM,0.0025,12,17481817.554369926
ADAM,0.0025,13,17320433.53857231
ADAM,0.0025,14,17215190.845749855
ADAM,0.0025,15,16966840.703884125
ADAM,0.0025,16,16957116.406790733
ADAM,0.0025,17,16589381.345739365
ADAM,0.0025,18,16610662.58109951
ADAM,0.0025,19,16193736.912979126
ADAM,0.0025,20,16139252.726561546
ADAM,0.0025,21,15861883.826019287
ADAM,0.0025,22,16041382.936832428
ADAM,0.0025,23,15575960.96653366
ADAM,0.0025,24,15689485.369446754
ADAM,0.0025,25,15314257.379788399
Optimizer,learning_rate,epoch,loss
ADAM,0.0025,1,15433450.797576904
Optimizer,learning_rate,epoch,loss
ADAM,0.0025,1,15400739.87193966
ADAM,0.0025,2,15097319.196558952
ADAM,0.0025,3,14457540.637386322
ADAM,0.0025,4,14048596.829423904
ADAM,0.0025,5,13906803.726640701
ADAM,0.0025,6,13918007.495233536
ADAM,0.0025,7,14038083.575198174
ADAM,0.0025,8,14015234.518817902
ADAM,0.0025,9,14107945.19562149
ADAM,0.0025,10,14037465.515524864
ADAM,0.0025,11,14065264.222530365
ADAM,0.0025,12,13999151.607953072
ADAM,0.0025,13,13933217.99104309
ADAM,0.0025,14,13908461.214986801
ADAM,0.0025,15,13783088.293284416
ADAM,0.0025,16,13805867.728905678
ADAM,0.0025,17,13622380.378135681
ADAM,0.0025,18,13750066.714675903
ADAM,0.0025,19,13489159.054018974
ADAM,0.0025,20,13540206.233760834
ADAM,0.0025,21,13390131.26722145
ADAM,0.0025,22,13383414.812895775
ADAM,0.0025,23,13321041.149518967
ADAM,0.0025,24,13236364.211662292
ADAM,0.0025,25,13244416.73424244
Optimizer,learning_rate,epoch,loss
ADAM,0.01,1,13320703.569648743
ADAM,0.01,2,18563282.111038208
Optimizer,learning_rate,epoch,loss
ADAM,0.01,1,32319290.13219452
ADAM,0.01,2,28063685.399000168
ADAM,0.01,3,23469092.35553837
ADAM,0.01,4,19526608.906079292
ADAM,0.01,5,16516468.600085258
ADAM,0.01,6,14581918.278337955
ADAM,0.01,7,13521506.73195362
ADAM,0.01,8,12942247.856032372
ADAM,0.01,9,12585711.294221401
ADAM,0.01,10,12340951.821409702
ADAM,0.01,11,12164295.586251736
ADAM,0.01,12,12029207.879078388
ADAM,0.01,13,11918260.349421978
ADAM,0.01,14,11826072.363986969
ADAM,0.01,15,11753940.630680084
ADAM,0.01,16,11693549.512440205
ADAM,0.01,17,11646015.226731777
ADAM,0.01,18,11607097.475978374
ADAM,0.01,19,11574080.647561073
ADAM,0.01,20,11546544.746124744
ADAM,0.01,21,11522990.712842941
ADAM,0.01,22,11504210.00441885
ADAM,0.01,23,11484754.35866785
ADAM,0.01,24,11472839.152806282
ADAM,0.01,25,11457424.354858875
Optimizer,learning_rate,epoch,loss
ADAM,0.01,1,11431963.595276356
ADAM,0.01,2,11494556.348935604
ADAM,0.01,3,11478202.342249632
ADAM,0.01,4,11474417.381432056
ADAM,0.01,5,11457380.481976986
ADAM,0.01,6,11443283.10721922
ADAM,0.01,7,11429455.382554531
ADAM,0.01,8,11414459.488080502
ADAM,0.01,9,11404743.955230236
ADAM,0.01,10,11393610.03084898
