Optimizer,learning_rate,epoch,loss
ADAM,0.01,1,242672797.66625977
ADAM,0.01,2,193726993.4523468
ADAM,0.01,3,79954536.0752716
ADAM,0.01,4,44063401.91394043
ADAM,0.01,5,49529985.22874451
ADAM,0.01,6,45480012.53930664
ADAM,0.01,7,48630405.97711182
ADAM,0.01,8,43281221.68469238
ADAM,0.01,9,39820151.885009766
ADAM,0.01,10,45538042.136276245
ADAM,0.01,11,44126636.58528137
ADAM,0.01,12,57533896.64096069
ADAM,0.01,13,41762438.60635376
ADAM,0.01,14,52482711.447769165
ADAM,0.01,15,43313104.673339844
ADAM,0.01,16,53841548.899002075
ADAM,0.01,17,41478727.251708984
ADAM,0.01,18,52357323.512786865
ADAM,0.01,19,41855400.25175476
ADAM,0.01,20,52442989.33869934
ADAM,0.01,21,40588292.60429382
ADAM,0.01,22,51423581.44065857
ADAM,0.01,23,40540153.1832428
ADAM,0.01,24,50958921.62113953
ADAM,0.01,25,39556664.31889343
ADAM,0.01,26,50255630.20196533
ADAM,0.01,27,39178726.31492615
ADAM,0.01,28,49513928.780685425
ADAM,0.01,29,38290981.85066223
ADAM,0.01,30,48702372.797454834
ADAM,0.01,31,37602138.1806488
ADAM,0.01,32,47678361.84263611
ADAM,0.01,33,36551989.41932678
ADAM,0.01,34,46500712.1489563
ADAM,0.01,35,35525705.26344299
ADAM,0.01,36,45143903.598968506
ADAM,0.01,37,34229714.5357666
ADAM,0.01,38,43643458.108551025
ADAM,0.01,39,32933224.3828125
ADAM,0.01,40,42038115.38417053
ADAM,0.01,41,31408152.929748535
ADAM,0.01,42,40261073.93927002
ADAM,0.01,43,29829750.28642273
ADAM,0.01,44,38305733.44403076
ADAM,0.01,45,28094970.954948425
ADAM,0.01,46,36030320.50601959
ADAM,0.01,47,26316146.353279114
ADAM,0.01,48,33481683.523010254
ADAM,0.01,49,24587634.777938843
ADAM,0.01,50,30604914.96648407
Optimizer,learning_rate,epoch,loss
ADAM,0.01,1,23317716.57850647
ADAM,0.01,2,34319605.774066925
ADAM,0.01,3,31660684.075782776
ADAM,0.01,4,28019157.502391815
ADAM,0.01,5,21359159.198709488
ADAM,0.01,6,23114235.02609253
ADAM,0.01,7,18728985.804937363
ADAM,0.01,8,20443635.626817703
ADAM,0.01,9,18433633.611873627
ADAM,0.01,10,19024928.27791214
ADAM,0.01,11,18395433.45882225
ADAM,0.01,12,18165148.107379913
ADAM,0.01,13,18472598.10651207
ADAM,0.01,14,17441604.10999298
ADAM,0.01,15,18295157.940044403
ADAM,0.01,16,17415533.335689545
ADAM,0.01,17,18364214.205373764
ADAM,0.01,18,17214468.148371696
ADAM,0.01,19,17997952.98938179
ADAM,0.01,20,16594960.535468102
ADAM,0.01,21,17241771.80656433
ADAM,0.01,22,15768654.845218658
ADAM,0.01,23,16621914.905042648
ADAM,0.01,24,15157286.875318527
ADAM,0.01,25,15878978.650270462
ADAM,0.01,26,14795739.81241417
ADAM,0.01,27,15432817.393011093
ADAM,0.01,28,14532588.582269669
ADAM,0.01,29,14970560.425440788
ADAM,0.01,30,14338768.276866913
ADAM,0.01,31,14743690.089773178
