Optimizer,learning_rate,epoch,loss
Optimizer,learning_rate,epoch,loss
ADAM,0.001,1,97806576.02978516
ADAM,0.001,2,95989707.48779297
ADAM,0.001,3,94664698.4855957
ADAM,0.001,4,93664225.72265625
ADAM,0.001,5,92851810.56542969
ADAM,0.001,6,92185372.87231445
ADAM,0.001,7,91625932.41772461
ADAM,0.001,8,91118849.85498047
ADAM,0.001,9,90637743.28198242
Optimizer,learning_rate,epoch,loss
ADAM,0.001,1,83763623.82617188
ADAM,0.001,2,104003503.82495117
ADAM,0.001,3,89434395.73016357
Optimizer,learning_rate,epoch,loss
ADAM,0.001,1,40641613.26928711
ADAM,0.001,2,37639585.59729004
ADAM,0.001,3,34535552.82849121
ADAM,0.001,4,31387887.178588867
ADAM,0.001,5,28609920.478790283
ADAM,0.001,6,26220960.614730835
ADAM,0.001,7,24173527.938583374
ADAM,0.001,8,22479494.233772278
ADAM,0.001,9,21111362.109594345
ADAM,0.001,10,20019059.61872101
ADAM,0.001,11,19156014.62863159
ADAM,0.001,12,18462031.578819275
ADAM,0.001,13,17896489.04135132
ADAM,0.001,14,17422246.029312134
ADAM,0.001,15,17021249.335603714
ADAM,0.001,16,16673331.770044327
ADAM,0.001,17,16371777.657934189
ADAM,0.001,18,16101417.243982315
ADAM,0.001,19,15856864.39334488
ADAM,0.001,20,15633882.860305786
ADAM,0.001,21,15431833.906597137
ADAM,0.001,22,15242449.06316948
ADAM,0.001,23,15070319.22612381
ADAM,0.001,24,14907625.665340424
ADAM,0.001,25,14757940.893356323
ADAM,0.001,26,14616730.073553085
ADAM,0.001,27,14486301.245203018
ADAM,0.001,28,14359124.184720993
ADAM,0.001,29,14244261.05584526
ADAM,0.001,30,14132500.670806885
ADAM,0.001,31,14030103.976772308
ADAM,0.001,32,13928500.490350723
ADAM,0.001,33,13835739.339675903
ADAM,0.001,34,13744481.868131638
ADAM,0.001,35,13661528.56288147
ADAM,0.001,36,13577315.232269287
ADAM,0.001,37,13499200.773929596
ADAM,0.001,38,13423294.523851395
ADAM,0.001,39,13351017.942461014
ADAM,0.001,40,13282075.063034058
ADAM,0.001,41,13214491.786539078
ADAM,0.001,42,13150472.967046738
ADAM,0.001,43,13086620.591127396
ADAM,0.001,44,13028187.842695236
ADAM,0.001,45,12969101.56511116
ADAM,0.001,46,12914814.551387787
ADAM,0.001,47,12859470.10016632
ADAM,0.001,48,12809000.176452637
ADAM,0.001,49,12756202.615095139
ADAM,0.001,50,12709037.618665695
Optimizer,learning_rate,epoch,loss
ADAM,0.0025,1,12656018.977684021
ADAM,0.0025,2,12539065.027738571
ADAM,0.0025,3,12499597.909033775
ADAM,0.0025,4,12447816.009762764
ADAM,0.0025,5,12411634.462078571
ADAM,0.0025,6,12373914.985161781
ADAM,0.0025,7,12340977.97222042
ADAM,0.0025,8,12307216.650030136
ADAM,0.0025,9,12277771.406181812
ADAM,0.0025,10,12247563.796022415
ADAM,0.0025,11,12219794.37859726
ADAM,0.0025,12,12190944.607400894
ADAM,0.0025,13,12163554.311529636
ADAM,0.0025,14,12136579.454245567
ADAM,0.0025,15,12110338.5423522
ADAM,0.0025,16,12084768.087894917
